10 clients
max concurrent clients,iterations,time
10,50,38
10,100,115
10,150,137
10,200,170
10,250,188
10,300,212
10,350,312
10,400,223
25 clients
max concurrent clients,iterations,time
24,50,161
25,100,247
25,150,342
25,200,483
25,250,788
25,300,827
25,350,816
25,400,960
50 clients
max concurrent clients,iterations,time
49,50,417
50,100,843
49,150,884
50,200,978
50,250,1437
50,300,1771
50,350,1603
50,400,1793
