10 clients,,
max concurrent clients,iterations,time
10,50,194
10,100,226
10,150,298
10,200,467
10,250,519
10,300,743
10,350,762
10,400,731
25 clients,,
max concurrent clients,iterations,time
25,50,433
25,100,873
25,150,919
25,200,1537
25,250,1820
25,300,2586
25,350,2562
25,400,3196
50 clients,,
max concurrent clients,iterations,time
50,50,1036
49,100,1872
50,150,2786
50,200,4133
50,250,4562
50,300,5496
50,350,6461
50,400,3351
