10 clients
max concurrent clients,iterations,time
10,50,59
10,100,108
10,150,166
10,200,145
10,250,198
10,300,221
10,350,331
10,400,372
25 clients
max concurrent clients,iterations,time
25,50,113
25,100,276
25,150,318
25,200,465
25,250,550
25,300,589
25,350,1060
25,400,1083
50 clients
max concurrent clients,iterations,time
50,50,1191
50,100,1240
50,150,1335
50,200,1557
50,250,1615
50,300,1695
50,350,3299
50,400,1943
